id;isbn;title;authors;language;avg-rating
1773;;Reckless (Thoughtless, #3);S.C. Stephens;en-US;4.42
1774;64410145;The Grim Grotto (A Series of Unfortunate Events, #11);Lemony Snicket, Brett Helquist;en-US;3.99
1775;8424133498;Strega Nona;Tomie dePaola;eng;4.22
1776;983212546;Playing for Keeps (Neighbor from Hell, #1);R.L. Mathewson;eng;4.08
1777;961454733;Art and Fear: Observations on the Perils (and Rewards) of Artmaking;David Bayles, Ted Orland;eng;3.67
1778;60085894;Frida: A Biography of Frida Kahlo;Hayden Herrera;;3.94
1779;452286034;Bitten (Women of the Otherworld, #1);Kelley Armstrong;eng;4.06
1780;312624670;Born at Midnight (Shadow Falls, #1);C.C. Hunter;en-US;4.13
1781;1844280136;Don't Let the Pigeon Drive the Bus!;Mo Willems;eng;4.29
1782;545424941;The Dream Thieves (The Raven Cycle, #2);Maggie Stiefvater;eng;4.27
1783;141439637;The Portrait of a Lady;Henry James, Patricia Crick;eng;3.76
1784;486290727;The Raven;Edgar Allan Poe, Gustave Doré;;4.28
1785;486298574;The Yellow Wallpaper and Other Stories;Charlotte Perkins Gilman;eng;4.02
1786;1455561789;Before the Fall;Noah Hawley;eng;3.76
1787;;هيبتا;محمد صادق;ara;3.82
1788;836204387;The Calvin and Hobbes Tenth Anniversary Book;Bill Watterson;eng;4.63
1789;142401757;Dreamland;Sarah Dessen;eng;3.91
1790;1616201320;The Art Forger;B.A. Shapiro;en-US;3.69
1791;1596912855;Austenland (Austenland, #1);Shannon Hale;en-US;3.54
1792;1400044162;Half of a Yellow Sun;Chimamanda Ngozi Adichie;eng;4.28
1793;345498321;One Night at the Call Center;Chetan Bhagat;eng;2.47
1794;385523238;At the Water's Edge;Sara Gruen;eng;3.65
1795;451197968;The Running Man;Richard Bachman, Stephen King;eng;3.8
1796;031242440X;Gilead (Gilead, #1);Marilynne Robinson;en-US;3.84
1797;006091307X;The Crying of Lot 49;Thomas Pynchon;en-US;3.7
1798;525953094;Edge of Eternity (The Century Trilogy, #3);Ken Follett;eng;4.04
1799;1423121317;Demonglass (Hex Hall, #2);Rachel Hawkins;en-US;4.13
1800;8498000831;Ubik;Philip K. Dick, David Alabort, Manuel Espín;spa;4.1
1801;1857231511;The Sword of Shannara (The Original Shannara Trilogy, #1);Terry Brooks;eng;3.76
1802;99297701;Hannibal (Hannibal Lecter, #3);Thomas Harris;eng;3.72
1803;006114097X;The Awakening / The Struggle (The Vampire Diaries, #1-2);L.J. Smith;en-US;3.67
1804;60586133;Three Wishes;Liane Moriarty;en-US;3.76
1805;1416974520;Night World, No. 3 (Night World, #7-9);L.J. Smith;en-US;4.2
1806;743466527;Fall on Your Knees;Ann-Marie MacDonald;eng;3.95
1807;054522490X;The Scorpio Races;Maggie Stiefvater;eng;4.08
1808;345539842;Morning Star (Red Rising, #3);Pierce Brown;eng;4.5
1809;441005764;Mossflower (Redwall, #2);Brian Jacques;en-US;4.09
1810;1250077001;Furiously Happy: A Funny Book About Horrible Things;Jenny  Lawson;eng;3.93
1811;312986343;Visions of Sugar Plums (Stephanie Plum, #8.5);Janet Evanovich;en-US;3.68
1812;553564935;Magician: Master (The Riftwar Saga, #2);Raymond E. Feist;en-US;4.25
1813;1405910216;On the Island (On the Island, #1);Tracey Garvis-Graves;eng;4.13
1814;1439164630;Left Neglected;Lisa Genova;eng;3.95
1815;671662341;Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family;Miep Gies, Alison Leslie Gold;eng;4.26
1816;765316994;Redshirts;John Scalzi;en-US;3.84
1817;030720961X;Sahara (Dirk Pitt, #11);Clive Cussler;spa;3.95
1818;61245097;One Foot in the Grave (Night Huntress, #2);Jeaniene Frost;eng;4.31
1819;60890681;The Last Anniversary;Liane Moriarty;eng;3.72
1820;61449067;Hunger (Gone, #2);Michael  Grant;eng;4.02
1821;312349513;Fearless Fourteen (Stephanie Plum, #14);Janet Evanovich;en-US;4.02
1822;8129118807;Revolution 2020: Love, Corruption, Ambition;Chetan Bhagat;eng;3.07
1823;7174160;A Bear Called Paddington (Paddington, #1);Michael Bond, Peggy Fortnum;eng;4.21
1824;60887338;Flawless (Pretty Little Liars, #2);Sara Shepard;en-US;3.96
1825;440800463;Ramona Quimby, Age 8 (Ramona, #6);Beverly Cleary;eng;4.08
1826;446364800;The General's Daughter;Nelson DeMille;;4.07
1827;1405206128;The Hostile Hospital (A Series of Unfortunate Events, #8);Lemony Snicket, Brett Helquist;en-GB;3.95
1828;1569319472;InuYasha: Turning Back Time (InuYasha, #1);Rumiko Takahashi;eng;4.26
1829;451219422;The Omen;David Seltzer;en-US;3.99
1830;312532768;Blue Moon (The Immortals, #2);Alyson Noel;eng;3.61
1831;446572993;The Innocent (Will Robie, #1);David Baldacci;en-US;4.1
1832;446402397;Child 44 (Leo Demidov, #1);Tom Rob Smith;eng;4.08
1833;60987510;These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories (Sarah Agnes Prine, #1);Nancy E. Turner;eng;4.35
1834;425260933;The Hypnotist's Love Story;Liane Moriarty;en-CA;3.69
1835;60527994;The Devil and Miss Prym (On the Seventh Day, #3);Paulo Coelho, Amanda Hopkinson, Nick Caistor;eng;3.59
1836;1933718005;The Kissing Hand;Audrey Penn, Ruth E. Harper, Nancy M. Leak;en-GB;4.41
1837;;Shift (Silo, #2);Hugh Howey;en-US;4.12
1838;440339340;Worth Dying For (Jack Reacher, #15);Lee Child;eng;4.2
1839;307395987;Look Me in the Eye: My Life with Asperger's;John Elder Robison;en-US;3.91
1840;312979975;Fantasy Lover (Dark-Hunterverse #1);Sherrilyn Kenyon;eng;4.17
1841;031601477X;Sundays at Tiffany's;James Patterson, Gabrielle Charbonnet;eng;3.74
1842;743418735;Perfect Match;Jodi Picoult;eng;3.93
1843;081297235X;Prep;Curtis Sittenfeld;eng;3.36
1844;1401307450;Scar Tissue;Anthony Kiedis, Larry Sloman;eng;4.1
1845;3442723434;Alias Grace;Margaret Atwood, Brigitte Walitzek;ger;3.97
1846;425273865;Captivated by You (Crossfire, #4);Sylvia Day;eng;4.06
1847;99427869;Illusions: The Adventures of a Reluctant Messiah;Richard Bach;eng;4.14
1848;316056634;Soulless (Parasol Protectorate, #1);Gail Carriger;eng;3.91
1849;142422959;Just One Day (Just One Day, #1);Gayle Forman;eng;4.02
1850;1416953574;Wake (Wake, #1);Lisa McMann;eng;3.75
1851;1439107955;The Emperor of All Maladies: A Biography of Cancer;Siddhartha Mukherjee;eng;4.29
1852;1416940901;Glass (Crank, #2);Ellen Hopkins;eng;4.28
1853;307278492;Memories of My Melancholy Whores;Gabriel García Márquez, Edith Grossman;eng;3.59
1854;031253955X;Only Time Will Tell (The Clifton Chronicles, #1);Jeffrey Archer;eng;4.04
1855;1878424114;The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams;Deepak Chopra;en-US;4.07
1856;312315953;Magical Thinking: True Stories;Augusten Burroughs;en-US;3.96
1857;689878567;In the Hand of the Goddess (Song of the Lioness, #2);Tamora Pierce;eng;4.25
1858;446614831;3rd Degree (Women's Murder Club, #3);James Patterson, Andrew Gross;;4.0
1859;385480016;Bird by Bird: Some Instructions on Writing and Life;Anne Lamott;;4.22
1860;805092528;Ruby Red (Precious Stone Trilogy, #1);Kerstin Gier, Anthea Bell;en-US;4.12
1861;031259044X;Shadowland (The Immortals, #3);Alyson Noel;eng;3.66
1862;553296124;Heir to the Empire (Star Wars: The Thrawn Trilogy #1);Timothy Zahn;eng;4.12
1863;689878575;Lioness Rampant (Song of the Lioness, #4);Tamora Pierce;en-US;4.28
1864;042510687X;Outbreak (Dr. Marissa Blumenthal, #1);Robin Cook;eng;3.96
1865;8176210773;You Can Heal Your Life;Louise L. Hay;eng;4.14
1866;1594631573;The Vacationers;Emma Straub;;3.14
1867;;The Hangman's Daughter (The Hangman's Daughter, #1);Oliver Pötzsch, Lee Chadeayne;eng;3.71
1868;1857988094;I Am Legend;Richard Matheson;eng;4.07
1869;015204566X;Dealing with Dragons (Enchanted Forest Chronicles, #1);Patricia C. Wrede, Peter de Sève;en-US;4.14
1870;515130974;Running Blind (Jack Reacher, #4);Lee Child;en-US;4.08
1871;425205819;Rules of Prey (Lucas Davenport, #1);John Sandford;en-US;4.13
1872;553589172;Ashes to Ashes (Kovac and Liska, #1);Tami Hoag;eng;4.03
1873;7149824;The Yiddish Policemen's Union;Michael Chabon;eng;3.69
1874;345528670;The Aviator's Wife;Melanie Benjamin;en-US;3.87
1875;439598389;A Bad Case of Stripes;David Shannon;eng;4.24
1876;593065700;The Affair (Jack Reacher, #16);Lee Child;eng;4.11
1877;205313426;The Elements of Style;William Strunk Jr., E.B. White;en-US;4.19
1878;140620613;The Turn of the Screw;Henry James;eng;3.45
1879;743294297;Best Friends Forever;Jennifer Weiner;eng;3.48
1880;786939532;Homeland (Forgotten Realms: The Dark Elf Trilogy, #1: Legend of Drizzt, #1);R.A. Salvatore;eng;4.27
1881;156865054X;The Mote in God's Eye;Larry Niven, Jerry Pournelle;eng;4.06
1882;307595862;The Snowman (Harry Hole, #7);Jo Nesbø, Don Bartlett;eng;4.04
1883;1590171993;Stoner;John  Williams, John McGahern;eng;4.28
1884;1401308201;Wicked: The Grimmerie;David Cote, Stephen Schwartz, Joan Marcus, Winnie Holzman;en-US;4.17
1885;074348486X;As You Like It;William Shakespeare;eng;3.83
1886;1563892618;Preacher, Volume 1: Gone to Texas;Garth Ennis, Steve Dillon, Joe R. Lansdale;eng;4.16
1887;451528921;Cyrano de Bergerac;Edmond Rostand, Eteel Lawson, Lowell Bair;eng;4.05
1888;374525641;The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures;Anne Fadiman;en-US;4.14
1889;1841496863;Bone Crossed (Mercy Thompson, #4);Patricia Briggs;en-GB;4.34
1890;159514319X;The Indigo Spell (Bloodlines, #3);Richelle Mead;eng;4.41
1891;385341652;Dreamfever (Fever, #4);Karen Marie Moning;en-US;4.43
1892;316010707;Case Histories (Jackson Brodie #1);Kate Atkinson;eng;3.82
1893;345544110;Release Me (Stark Trilogy, #1);J. Kenner;eng;4.14
1894;812984277;Wedding Night;Sophie Kinsella;eng;3.4
1895;1563892251;The Doll's House (The Sandman #2);Neil Gaiman, Steve Parkhouse, Chris Bachalo, Michael Zulli, Mike Dringenberg, Malcolm Jones III, Todd Klein, Clive Barker;eng;4.44
1896;689849109;Pollyanna (Pollyanna, #1);Eleanor H. Porter;eng;3.95
1897;1558745157;The Lost Boy (Dave Pelzer #2);Dave Pelzer;eng;4.08
1898;1490904387;Dust (Silo, #3);Hugh Howey;eng;4.26
1899;1439102759;Lone Wolf;Jodi Picoult;eng;3.67
1900;450610098;Nightmares and Dreamscapes;Stephen King;eng;3.9
1901;385341679;Shadowfever (Fever, #5);Karen Marie Moning;en-US;4.46
1902;385517831;The Associate;John Grisham;en-US;3.64
1903;547887205;Son (The Giver, #4);Lois Lowry;eng;3.98
1904;1401248969;The Sandman: Overture;Neil Gaiman, J.H. Williams III, Dave Stewart, Todd Klein;en-US;3.94
1905;;Blood Song (Raven's Shadow, #1);Anthony  Ryan;eng;4.47
1906;802720854;Rules of Attraction (Perfect Chemistry, #2);Simone Elkeles;en-US;4.22
1907;1595406557;The Merry Adventures of Robin Hood;Howard Pyle;eng;4.05
1908;679781498;Less Than Zero;Bret Easton Ellis;eng;3.58
1909;393065782;Someone Knows My Name;Lawrence Hill;eng;4.44
1910;812972147;The Arabian Nights;Anonymous, Richard Francis Burton, A.S. Byatt;eng;4.06
1911;670021873;Faithful Place (Dublin Murder Squad, #3);Tana French;eng;3.97
1912;802122558;Euphoria;Lily King;eng;3.84
1913;60090383;Rachel's Holiday (Walsh Family, #2);Marian Keyes;eng;3.93
1914;586008357;The Caves of Steel (Robot #1);Isaac Asimov;eng;4.14
1915;99448769;Dance Dance Dance (The Rat, #4);Haruki Murakami;eng;4.03
1916;380709244;The Mouse and the Motorcycle (Ralph S. Mouse, #1);Beverly Cleary, Louis Darling, Tracy Dockray;en-US;3.9
1917;575090855;The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1);Carrie Ryan;eng;3.59
1918;736693416;The Elfstones of Shannara  (The Original Shannara Trilogy, #2);Terry Brooks;eng;3.96
1919;375866590;Dash & Lily's Book of Dares (Dash & Lily, #1);Rachel Cohn, David Levithan;eng;3.82
1920;316074314;The Luminaries;Eleanor Catton;eng;3.7
1921;60244054;If You Give a Moose a Muffin;Laura Joffe Numeroff, Felicia Bond;en-US;4.17
1922;553588257;Velocity;Dean Koontz;eng;3.85
1923;316779423;Barrel Fever: Stories and Essays;David Sedaris;en-US;3.78
1924;552152951;Reaper Man (Discworld, #11: Death, #2);Terry Pratchett;eng;4.27
1925;1581345275;Piercing the Darkness (Darkness, #2);Frank E. Peretti;eng;4.3
1926;1400064287;Made to Stick: Why Some Ideas Survive and Others Die;Chip Heath, Dan Heath;en-US;3.97
1927;038000321X;Alive: The Story of the Andes Survivors;Piers Paul Read;eng;4.08
1928;143037749;On Beauty;Zadie Smith;eng;3.68
1929;446691097;Battlefield of the Mind: Winning the Battle in Your Mind;Joyce Meyer;en-US;4.33
1930;749932775;Dance Upon the Air (Three Sisters Island, #1);Nora Roberts;eng;4.19
1931;345335708;Castle of Wizardry (The Belgariad, #4);David Eddings;eng;4.16
1932;451233166;Lover Unleashed (Black Dagger Brotherhood, #9);J.R. Ward;en-US;4.28
1933;;أحببتك أكثر مما ينبغي;أثير عبدالله النشمي;ara;3.67
1934;1401323820;Heat Wave (Nikki Heat, #1);Richard Castle;en-US;3.54
1935;;Kindle Paperwhite User's Guide;Amazon;eng;3.72
1936;345469011;A Widow for One Year;John Irving;;3.74
1937;7157150;Out of the Silent Planet (Space Trilogy, #1);C.S. Lewis;eng;3.92
1938;142404128;Charlie and the Great Glass Elevator (Charlie Bucket, #2);Roald Dahl, Quentin Blake;;3.64
1939;60266864;If You Give a Pig a Pancake ;Laura Joffe Numeroff, Felicia Bond;en-US;4.23
1940;684853159;The Wasp Factory;Iain Banks;en-US;3.85
1941;140006788X;Night Film;Marisha Pessl;eng;3.78
1942;080509329X;Stories I Only Tell My Friends;Rob Lowe;en-US;3.77
1943;385536976;Crazy Rich Asians (Crazy Rich Asians #1);Kevin Kwan;eng;3.7
1944;385733410;Rebel Angels (Gemma Doyle, #2);Libba Bray;eng;3.98
1945;038533916X;Bloodfever (Fever, #2);Karen Marie Moning;eng;4.3
1946;385341636;Faefever (Fever, #3);Karen Marie Moning;en-US;4.34
1947;;My Sister's Grave (Tracy Crosswhite #1);Robert Dugoni;eng;4.0
1948;159474758X;Library of Souls (Miss Peregrine's Peculiar Children, #3);Ransom Riggs;eng;4.15
1949;486424545;Howards End;E.M. Forster;eng;3.95
1950;1593070942;Hellboy, Vol. 1: Seed of Destruction (Hellboy, #1);Mike Mignola, John Byrne;eng;4.11
1951;;The Evolution of Mara Dyer (Mara Dyer, #2);Michelle Hodkin;eng;4.33
1952;1423160916;The Sword of Summer (Magnus Chase and the Gods of Asgard, #1);Rick Riordan;eng;4.26
1953;140439242;The Man in the Iron Mask (The D'Artagnan Romances, #3.3);Alexandre Dumas, Francine du Plessix Gray, Joachim Neugroschel;eng;3.97
1954;143039989;The Haunting of Hill House;Shirley Jackson, Laura   Miller;eng;3.89
1955;684856476;The Rum Diary;Hunter S. Thompson;eng;3.83
1956;60885432;Little Town on the Prairie  (Little House, #7);Laura Ingalls Wilder, Garth Williams;en-GB;4.18
1957;312181108;I Capture the Castle;Dodie Smith;eng;4.0
1958;1905654871;Destined (House of Night, #9);P.C. Cast, Kristin Cast;eng;4.04
1959;312383282;Finger Lickin' Fifteen (Stephanie Plum, #15);Janet Evanovich;en-US;3.98
1960;61177598;Women;Charles Bukowski;eng;3.89
1961;451200810;North and South (North and South, #1);John Jakes;en-US;4.19
1962;044101819X;Silver Borne (Mercy Thompson, #5);Patricia Briggs;en-US;4.38
1963;752858491;The Bourne Ultimatum (Jason Bourne, #3);Robert Ludlum;eng;4.04
1964;6486010;Fool's Errand (Tawny Man, #1);Robin Hobb;eng;4.29
1965;399167838;The Young Elites (The Young Elites, #1);Marie Lu;eng;3.93
1966;515126772;Jewels of the Sun (Gallaghers of Ardmore, #1);Nora Roberts;en-US;4.22
1967;140449337;Meditations;Marcus Aurelius, Martin Hammond, Diskin Clay;eng;4.2
1968;078684907X;Peter and the Starcatchers (Peter and the Starcatchers, #1);Dave Barry, Ridley Pearson, Greg Call;eng;4.01
1969;143036556;Collapse: How Societies Choose to Fail or Succeed;Jared Diamond;en-GB;3.92
1970;679735909;Possession;A.S. Byatt;eng;3.88
1971;1423102282;Revelations (Blue Bloods, #3);Melissa de la Cruz;en-US;3.89
1972;425143325;Without Remorse (Jack Ryan Universe, #1);Tom Clancy;en-US;4.16
1973;1566195764;The Interpretation of Dreams;Sigmund Freud;;3.81
1974;671685635;Ghost Story;Peter Straub;en-US;3.95
1975;64410153;The Penultimate Peril (A Series of Unfortunate Events, #12);Lemony Snicket, Brett Helquist;en-US;4.02
1976;076790382X;I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away;Bill Bryson;en-US;3.89
1977;64410161;The End (A Series of Unfortunate Events, #13);Lemony Snicket, Brett Helquist;en-US;3.99
1978;143035746;The Liars' Club;Mary Karr;eng;3.92
1979;193700788X;Dead Ever After (Sookie Stackhouse, #13);Charlaine Harris;eng;3.39
1980;000712774X;The Illustrated Man;Ray Bradbury;eng;4.13
1981;;Naked (The Blackstone Affair, #1);Raine Miller;eng;4.02
1982;374104093;Annihilation (Southern Reach, #1);Jeff VanderMeer;eng;3.62
1983;;Breathe (Sea Breeze, #1);Abbi Glines;eng;3.88
1984;60775823;The Runaway Bunny;Margaret Wise Brown, Clement Hurd;en-US;4.14
1985;553805371;The Grand Design;Stephen Hawking, Leonard Mlodinow;eng;4.0
1986;385517238;The Innocent Man: Murder and Injustice in a Small Town;John Grisham;eng;3.79
1987;452277752;The Bachman Books;Richard Bachman, Stephen King;eng;4.1
1988;140006922X;Zealot: The Life and Times of Jesus of Nazareth;Reza Aslan;eng;3.82
1989;812551494;Soul of the Fire (Sword of Truth, #5);Terry Goodkind;eng;3.87
1990;1590514637;The Art of Hearing Heartbeats;Jan-Philipp Sendker, Kevin Wiliarty;eng;3.98
1991;1857231384;Consider Phlebas (Culture, #1);Iain M. Banks;eng;3.85
1992;671646788;The Magic of Thinking Big;David J. Schwartz;en-US;4.19
1993;345434803;The Vampire Armand (The Vampire Chronicles, #6);Anne Rice;en-US;3.75
1994;;Forever Too Far (Rosemary Beach, #3: Too Far, #3);Abbi Glines;eng;4.24
1995;6479901;A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3: Part 1 of 2);George R.R. Martin;eng;4.49
1996;140382623;Pinocchio;Carlo Collodi, John Boyne, Monteiro Lobato, Unknown;eng;3.86
1997;054762834X;Grave Mercy (His Fair Assassin, #1);Robin LaFevers;eng;3.92
1998;1565075722;The Power of a Praying Wife;Stormie Omartian;;4.31
1999;802131786;Tropic of Cancer;Henry Miller;eng;3.71
2000;60393491;The Hour I First Believed;Wally Lamb;en-US;3.8
2001;61997811;Harry Potter: Film Wizardry;Brian Sibley;eng;4.48
2002;1600964338;The Death of Ivan Ilych;Leo Tolstoy, Aylmer Maude;eng;4.04
2003;345534182;Circling the Sun;Paula McLain;eng;3.93
2004;142000701;Travels with Charley: In Search of America;John Steinbeck;eng;4.07
2005;145161747X;The Dovekeepers;Alice Hoffman;eng;4.02
2006;553804693;The Republic of Thieves (Gentleman Bastard, #3);Scott Lynch;eng;4.23
2007;1903434777;The Thief Lord;Cornelia Funke;eng;3.95
2008;1444778536;World After (Penryn & the End of Days, #2);Susan Ee;eng;4.22
2009;553804804;Brother Odd (Odd Thomas, #3);Dean Koontz;eng;3.98
2010;451208641;Black Like Me;John Howard Griffin;en-US;4.12
2011;385517882;Snuff;Chuck Palahniuk;en-US;3.18
2012;446692654;Jack & Jill (Alex Cross, #3);James Patterson;eng;3.95
2013;1400076196;Saturday;Ian McEwan;en-US;3.61
2014;345466608;When the Bough Breaks (Alex Delaware, #1);Jonathan Kellerman;eng;4.02
2015;446364495;The Bridges of Madison County;Robert James Waller;eng;3.51
2016;593057058;Gone Tomorrow (Jack Reacher, #13);Lee Child;eng;4.17
2017;385735294;The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3);Michael Scott;eng;4.11
2018;805090037;Bring Up the Bodies (Thomas Cromwell, #2);Hilary Mantel;en-US;4.26
2019;545060397;The Maze of Bones  (The 39 Clues, #1);Rick Riordan;eng;3.83
2020;28610105;How to Cook Everything: Simple Recipes for Great Food;Mark Bittman;en-US;4.02
2021;316003727;The Twilight Collection (Twilight, #1-3);Stephenie Meyer;eng;3.78
2022;486234118;Concerning the Spiritual in Art;Wassily Kandinsky;eng;3.81
2023;743453255;Forrest Gump (Forrest Gump, #1);Winston Groom;eng;4.06
2024;679720227;The Fall;Albert Camus, Justin O'Brien;eng;4.05
2025;1842430246;Even Cowgirls Get the Blues;Tom Robbins;eng;3.74
2026;375757856;The Moonstone;Wilkie Collins, Carolyn G. Heilbrun;eng;3.9
2027;;If on a Winter's Night a Traveler;Italo Calvino, William Weaver;eng;4.08
2028;60747226;Son of a Witch (The Wicked Years, #2);Gregory Maguire, Douglas Smith;eng;3.45
2029;224081187;On Chesil Beach;Ian McEwan;eng;3.54
2030;449223604;M is for Malice (Kinsey Millhone, #13);Sue Grafton;en-GB;4.07
2031;751530484;Point of Origin (Kay Scarpetta, #9);Patricia Cornwell;en-GB;4.02
2032;618062416;Sarah, Plain and Tall (Sarah, Plain and Tall, #1);Patricia MacLachlan;eng;3.72
2033;;عزازيل;يوسف زيدان;ara;4.07
2034;60735414;Bloodsucking Fiends (A Love Story, #1);Christopher Moore;eng;3.93
2035;316038393;Squirrel Seeks Chipmunk: A Modest Bestiary;David Sedaris, Ian Falconer;eng;3.34
2036;159285849X;The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are;Brené Brown;eng;4.17
2037;62491792;Commonwealth;Ann Patchett;eng;3.84
2038;1423102266;The Van Alen Legacy (Blue Bloods, #4);Melissa de la Cruz;en-US;3.95
2039;670175919;Blueberries for Sal;Robert McCloskey;eng;4.18
2040;;Losing Hope (Hopeless, #2);Colleen Hoover;eng;4.39
2041;743289412;Lisey's Story;Stephen King;eng;3.65
2042;1451695195;Proof of Heaven: A Neurosurgeon's Journey into the Afterlife;Eben Alexander;en-US;3.68
2043;61092193;Men at Arms (Discworld, #15: City Watch #2);Terry Pratchett;eng;4.36
2044;743291476;The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible;A.J. Jacobs;en-US;3.76
2045;575075066;God Emperor of Dune (Dune Chronicles #4);Frank Herbert;eng;3.81
2046;034554689X;The One & Only;Emily Giffin;eng;3.11
2047;553381660;The Valley of Horses (Earth's Children, #2);Jean M. Auel;en-US;3.98
2048;525953485;Six Years;Harlan Coben;eng;3.8
2049;192750976;Ramona the Pest (Ramona, #2);Beverly Cleary;;4.04
2050;1416974512;Night World, No. 2 (Night World, #4-6);L.J. Smith;en-CA;4.2
2051;375713344;Geek Love;Katherine Dunn;eng;3.98
2052;015602764X;The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3);Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald;en-US;3.96
2053;156004801;All the King's Men;Robert Penn Warren;eng;4.08
2054;553375938;Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3);Ann Brashares;eng;3.82
2055;525950125;The Woods;Harlan Coben;eng;4.04
2056;1841492612;New Spring (Wheel of Time, #0);Robert Jordan;eng;4.01
2057;1444729705;The Litigators;John Grisham;eng;3.77
2058;1501115065;My Grandmother Asked Me to Tell You She's Sorry;Fredrik Backman, Henning Koch;eng;4.02
2059;141659518X;American Assassin (Mitch Rapp, #1);Vince Flynn;eng;4.24
2060;1592407331;Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead;Brené Brown;;4.24
2061;316243914;Burial Rites;Hannah Kent;eng;4.01
2062;1573229725;Fingersmith;Sarah Waters;eng;4.02
2063;679731148;A Year in Provence;Peter Mayle;eng;3.94
2064;763625892;The Miraculous Journey of Edward Tulane;Kate DiCamillo, Bagram Ibatoulline;eng;4.34
2065;670022802;The Last Letter from Your Lover;Jojo Moyes;eng;3.94
2066;345298349;Gorky Park (Arkady Renko, #1);Martin Cruz Smith;eng;4.04
2067;62207393;The House Girl;Tara Conklin;eng;3.75
2068;439771277;Out of the Dust;Karen Hesse;;3.73
2069;60851988;Queen of Babble (Queen of Babble, #1);Meg Cabot;eng;3.71
2070;1419705849;The Third Wheel (Diary of a Wimpy Kid, #7);Jeff Kinney;en-US;4.21
2071;1405258217;Code Name Verity (Code Name Verity, #1);Elizabeth Wein;eng;4.08
2072;1416903542;Burned (Burned, #1);Ellen Hopkins;en-US;4.24
2073;6472613;Master of the Game;Sidney Sheldon;eng;4.09
2074;425201449;The Body Farm (Kay Scarpetta, #5);Patricia Cornwell;eng;4.04
2075;60845546;The Boy Next Door (Boy, #1);Meg Cabot;eng;3.83
2076;141026286;The Epic of Gilgamesh;Anonymous, N.K. Sandars;eng;3.63
2077;61345660;The Luxe (Luxe, #1);Anna Godbersen;en-US;3.63
2078;072325804X;The Complete Tales;Beatrix Potter;;4.36
2079;99771810;American Pastoral (The American Trilogy, #1);Philip Roth;eng;3.91
2080;1594634718;Big Magic: Creative Living Beyond Fear;Elizabeth Gilbert;eng;3.9
2081;451464397;Skin Game (The Dresden Files, #15);Jim Butcher;eng;4.55
2082;;The Qur'an / القرآن الكريم;Anonymous;ara;4.34
2083;373772467;The Darkest Night (Lords of the Underworld #1);Gena Showalter;eng;4.09
2084;61474096;Anathem;Neal Stephenson;eng;4.18
2085;60852577;The Lacuna;Barbara Kingsolver;eng;3.76
2086;552154288;Hogfather (Discworld, #20: Death, #4);Terry Pratchett;eng;4.22
2087;345435168;Open House;Elizabeth Berg;eng;3.68
2088;1451661509;The Silver Star;Jeannette Walls;eng;3.68
2089;552992097;The Hotel New Hampshire;John Irving;eng;3.89
2090;425204669;The Laughing Corpse (Anita Blake, Vampire Hunter, #2);Laurell K. Hamilton;en-US;4.11
2091;051513628X;Key of Light (Key Trilogy, #1);Nora Roberts;eng;4.16
2092;1416950052;Identical;Ellen Hopkins;eng;4.34
2093;785136223;The Stand: Soul Survivors;Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King;en-GB;4.52
2094;307932230;Smokin' Seventeen (Stephanie Plum, #17);Janet Evanovich, Lorelei King;eng;3.94
2095;7158505;The Sneetches and Other Stories;Dr. Seuss;en-US;4.31
2096;805053883;Polar Bear, Polar Bear, What Do You Hear?;Bill Martin Jr., Eric Carle;eng;4.16
2097;3518367064;Demian. Die Geschichte von Emil Sinclairs Jugend;Hermann Hesse;ger;4.1
2098;385333471;God Bless You, Mr. Rosewater;Kurt Vonnegut Jr.;eng;3.94
2099;1421505851;Skip Beat!, Vol. 01;Yoshiki Nakamura, Tomo Kimura;eng;4.26
2100;;Batman: The Dark Knight Returns #1;Frank Miller;eng;4.21
2101;439249546;The Harry Potter Collection 1-4 (Harry Potter, #1-4);J.K. Rowling, Mary GrandPré;eng;4.66
2102;1597801577;The Windup Girl;Paolo Bacigalupi;eng;3.74
2103;140436065;The Importance of Being Earnest and Other Plays;Oscar Wilde, Richard Allen Cave;eng;4.26
2104;525425632;Isla and the Happily Ever After (Anna and the French Kiss, #3);Stephanie Perkins;eng;4.1
2105;441014895;Magic Bites (Kate Daniels, #1);Ilona Andrews;eng;4.07
